iter	MultiClass
0	1.782877849
1	1.597458773
2	1.503278613
3	1.428347721
4	1.377359341
5	1.334784336
6	1.309004007
7	1.285160306
8	1.255076
9	1.241381086
10	1.228051932
11	1.210163658
12	1.198438519
13	1.181652354
14	1.167144514
15	1.158639711
16	1.149787176
17	1.142169008
18	1.133970445
19	1.110443936
20	1.10570131
21	1.100338809
22	1.095041994
23	1.089685788
24	1.08403723
25	1.077137918
26	1.066630457
27	1.060271707
28	1.048292645
29	1.036742904
30	1.024723636
31	1.01972212
32	1.012757241
33	1.00830202
34	0.9959097388
35	0.9907560746
36	0.9765669607
37	0.9663874571
38	0.9588096862
39	0.9551845163
40	0.9461910954
41	0.9344025156
42	0.9322065108
43	0.9296226889
44	0.9234332326
45	0.9187815933
46	0.9064480711
47	0.8974634767
48	0.8896121292
49	0.8822157695
50	0.8743384256
51	0.8726173323
52	0.866010269
53	0.8580854922
54	0.8505433929
55	0.8424765949
56	0.8386931583
57	0.8353215699
58	0.8290036296
59	0.8240293921
60	0.8216103812
61	0.8192318191
62	0.81445282
63	0.8076835894
64	0.8037350343
65	0.7999055516
66	0.7923162057
67	0.7872268146
68	0.7826704604
69	0.7796294772
70	0.7781294692
71	0.77507358
72	0.7716247189
73	0.7662832731
74	0.7635708789
75	0.7573785006
76	0.7542985253
77	0.7494164452
78	0.7476204559
79	0.7439280065
80	0.742567246
81	0.7415492918
82	0.7377052742
83	0.7335285169
84	0.7306707652
85	0.7279237359
86	0.7242316771
87	0.7207283649
88	0.7186631086
89	0.7144403804
90	0.712431486
91	0.7106752768
92	0.7087046217
93	0.7069800961
94	0.703595084
95	0.7025423403
96	0.6992139944
97	0.6979287704
98	0.693624149
99	0.6908165042
100	0.6898235626
101	0.6891476047
102	0.686983356
103	0.6857671122
104	0.6851350665
105	0.6846144213
106	0.6817808651
107	0.6784907038
108	0.6761479941
109	0.6746664994
110	0.6710488762
111	0.6677250672
112	0.6648961702
113	0.6626642901
114	0.6603973332
115	0.6575811331
116	0.655664158
117	0.6529459844
118	0.6513610328
119	0.6486573409
120	0.6469708613
121	0.6451772625
122	0.6437200104
123	0.6404655545
124	0.6387540155
125	0.6376436219
126	0.6351048
127	0.6340130323
128	0.6320853608
129	0.6286429686
130	0.6260186456
131	0.6232660844
132	0.6210974303
133	0.6187548793
134	0.6162372259
135	0.6139139855
136	0.6125128406
137	0.6096260182
138	0.608380279
139	0.6055440518
140	0.6046342565
141	0.6029805685
142	0.6019302157
143	0.6007189273
144	0.5994426167
145	0.5976263669
146	0.5959141067
147	0.5943820748
148	0.5923007531
149	0.5914060143
150	0.5898714899
151	0.5880626092
152	0.5872777664
153	0.5858005423
154	0.5839577959
155	0.5829483594
156	0.5815781962
157	0.58066945
158	0.5799148471
159	0.5787835696
160	0.5772553896
161	0.5758092879
162	0.5742307321
163	0.5724157621
164	0.571457433
165	0.570503205
166	0.5692094413
167	0.5680865822
168	0.5665049565
169	0.5656732978
170	0.5628667899
171	0.561510906
172	0.5609492833
173	0.5596017045
174	0.5579132777
175	0.5569666063
176	0.5561842448
177	0.5554387536
178	0.554533484
179	0.553693466
180	0.5526203473
181	0.5498603615
182	0.5492358151
183	0.5468645083
184	0.5463254905
185	0.5454199938
186	0.5446326471
187	0.5430647208
188	0.5415561433
189	0.5399240078
190	0.5390249817
191	0.5366797328
192	0.5354041204
193	0.5345911782
194	0.5343118264
195	0.5333560201
196	0.5322092997
197	0.5315859515
198	0.5308269663
199	0.5295403002
200	0.5280522715
201	0.5260155963
202	0.5255371264
203	0.523517801
204	0.523011543
205	0.5222891629
206	0.5215295515
207	0.5205284512
208	0.5176169197
209	0.516512208
210	0.5156361135
211	0.5145752291
212	0.5136936176
213	0.5116505589
214	0.5110998748
215	0.5106406492
216	0.5100113567
217	0.5096035722
218	0.5082201679
219	0.5076842058
220	0.5058418006
221	0.5053547529
222	0.5042649758
223	0.503562216
224	0.5029134345
225	0.5025543367
226	0.5018542763
227	0.5014201366
228	0.500304872
229	0.4997347288
230	0.4983381112
231	0.4972305493
232	0.49544061
233	0.4950424921
234	0.493592282
235	0.4933136952
236	0.492752056
237	0.4923198299
238	0.4914900985
239	0.4900598672
240	0.4892886088
241	0.4885809043
242	0.4875926428
243	0.4860942754
244	0.4844180815
245	0.4832097992
246	0.4823791553
247	0.4817044421
248	0.4811774381
249	0.480720334
250	0.4798958695
251	0.4791366715
252	0.4782052381
253	0.4774465177
254	0.476810748
255	0.4755823188
256	0.4749976533
257	0.4744004531
258	0.4741571515
259	0.4727454317
260	0.4721768867
261	0.4714571434
262	0.4705142778
263	0.4695508486
264	0.4690478923
265	0.4678205764
266	0.4667983989
267	0.4653800371
268	0.4640589679
269	0.4632666449
270	0.4628904078
271	0.462375328
272	0.4620130726
273	0.4615102837
274	0.4608665685
275	0.4599754306
276	0.4594001094
277	0.4581861033
278	0.4576129454
279	0.4571947864
280	0.4565878903
281	0.4561352149
282	0.4556109029
283	0.4547258426
284	0.4534265255
285	0.4530841106
286	0.4523539651
287	0.451450159
288	0.4503148268
289	0.4494458003
290	0.4485709571
291	0.448304302
292	0.4472018189
293	0.4462445419
294	0.4456657129
295	0.4449828048
296	0.4443444745
297	0.4439484705
298	0.4428227281
299	0.4416009247
